,id,url,name,address,sold_count,selling_count,renting_count,house_type,property_costs,property_company,developer,buiding_count,door_count,8月参考均价(元/m^2)
63,4220033014153527,https://hrb.lianjia.com/xiaoqu/4220033014153527/,校园小区,(道外太平商圈)校园小区A3栋,90天成交0套,86,6套正在出租,板楼,0.5元/平米/月,哈尔滨惠民物业有限公司,哈尔滨房地产开发有限公司,17栋,2171户,8231
64,4220032301975576,https://hrb.lianjia.com/xiaoqu/4220032301975576/,龙福家园(南岗区),(南岗南岗分局十三中)马端街65号,90天成交0套,62,16套正在出租,塔楼/板楼,0.8元/平米/月,北京世邦魏理仕物业管理服务有限公司,哈尔滨福龙房地产开发有限公司,15栋,1825户,8758
65,4220032957491136,https://hrb.lianjia.com/xiaoqu/4220032957491136/,都市秀景,(道里顾乡大街)顾乡大街206号,90天成交1套,49,0套正在出租,板楼,0.5元/平米/月,业主自筹物业,哈尔滨亿汇房地产开发有限责任公司,16栋,1549户,8584
66,4220032961731943,https://hrb.lianjia.com/xiaoqu/4220032961731943/,香坊大街,"(香坊尚志公园)香坊大街43号, 香坊大街45-3号",90天成交0套,47,3套正在出租,板楼,0.5至0.8元/平米/月,业主自筹物业,无,25栋,1933户,7246
67,4220031959843120,https://hrb.lianjia.com/xiaoqu/4220031959843120/,乡社街西区,(道里顾乡大街)乡里街134号,90天成交0套,45,2套正在出租,塔板结合,0.5元/平米/月,业主自筹物业,哈尔滨房地产开发有限公司,19栋,1655户,7552
68,4220031934736717,https://hrb.lianjia.com/xiaoqu/4220031934736717/,一匡小区,(南岗西大直街西大桥通达街红岩校苗圃清明和兴商厦七政四十七中木兰商场)木兰街23号,90天成交1套,37,14套正在出租,板楼,0.5元/平米/月,业主自筹物业,无,11栋,1383户,8452
69,4220031921037392,https://hrb.lianjia.com/xiaoqu/4220031921037392/,河松小区一期,(道里群力新区)河松街187号,90天成交1套,62,1套正在出租,板楼,3元/平米/月,业主自筹物业,哈尔滨市河松房地产开发有限责任公司,48栋,4317户,7746
70,4220032177095824,https://hrb.lianjia.com/xiaoqu/4220032177095824/,安化街(安详街),(道里安字片)安化街130号;安化街132号;安化街136号,90天成交2套,50,3套正在出租,板楼/塔板结合,0.6元/平米/月,哈尔滨晋康物业有限公司,哈尔滨凯利投资有限公司,71栋,3759户,7953
71,4220031688187724,https://hrb.lianjia.com/xiaoqu/4220031688187724/,悦活里,(呼兰区哈尔滨新区)北京路悦活里,90天成交0套,171,15套正在出租,板楼/塔板结合,1.2至1.6元/平米/月,哈尔滨景阳物业管理有限公司,黑龙江省天屹房地产开发有限公司,29栋,3370户,6868
72,42000000000054,https://hrb.lianjia.com/xiaoqu/42000000000054/,苗圃小区,(南岗西大直街西大桥通达街红岩校苗圃清明和兴商厦七政四十七中木兰商场)苗圃小区C1栋8-10,90天成交0套,99,11套正在出租,板楼,0.5至0.8元/平米/月,业主自筹物业,上海东颐置业有限公司,42栋,3322户,12221
73,4220032276786271,https://hrb.lianjia.com/xiaoqu/4220032276786271/,安宁街,"(道里安字片)安宁街170号, 安宁街174号, 安宁街180号, 安宁街184号, 安康街43号",90天成交0套,52,3套正在出租,板楼/塔板结合,0.5元/平米/月,业主自筹物业,哈尔滨房地产开发有限公司,70栋,2477户,7741
74,4220031887487902,https://hrb.lianjia.com/xiaoqu/4220031887487902/,金河铭苑,(阿城区阿城商圈)上京大道355号,90天成交1套,95,1套正在出租,板楼,0.5元/平米/月,哈尔滨惠民物业有限公司,哈尔滨市诚信房地产开发有限公司,28栋,2517户,4700
75,4220032150786181,https://hrb.lianjia.com/xiaoqu/4220032150786181/,安丰街,(道里安字片)安丰街29号,90天成交0套,41,5套正在出租,板楼/塔板结合,0.5元/平米/月,业主自筹物业,哈尔滨房地产开发有限公司,48栋,1836户,7397
76,4220032932323053,https://hrb.lianjia.com/xiaoqu/4220032932323053/,钻石湾地中海阳光,(松北松北世贸大道)世茂大道钻石湾地中海阳光,90天成交1套,102,40套正在出租,板楼,1至1.7元/平米/月,哈尔滨毅腾物业管理有限公司,哈尔滨毅腾房屋开发集团有限公司,45栋,3096户,14501
77,4220031664068545,https://hrb.lianjia.com/xiaoqu/4220031664068545/,清河湾小区,(道里顾乡凯德广场)城乡路112号,90天成交2套,107,0套正在出租,板楼,0.6元/平米/月,业主自筹物业,哈尔滨市城市建设投资集团有限公司,57栋,7490户,8965
78,4220031781577817,https://hrb.lianjia.com/xiaoqu/4220031781577817/,金紫邑,(阿城区阿城商圈)通城路金紫邑,90天成交1套,17,0套正在出租,塔板结合,1.2元/平米/月,业主自筹物业,哈尔滨新征程农业有限公司,4栋,594户,4827
79,4220031798364476,https://hrb.lianjia.com/xiaoqu/4220031798364476/,祥和家园,(香坊动力区)进乡街123号,90天成交0套,76,39套正在出租,板楼,0.85元/平米/月,哈尔滨协和物业管理有限公司,黑龙江隆祥房地产开发有限公司,11栋,1907户,8428
80,4220031881194619,https://hrb.lianjia.com/xiaoqu/4220031881194619/,东铁花园,(道外先锋路商圈)东铁街14号,90天成交0套,56,2套正在出租,板楼/塔板结合,0.5至0.6元/平米/月,哈尔滨惠民物业有限公司,襄阳东铁正新房地产开发有限公司,6栋,905户,6432
81,4220032960682043,https://hrb.lianjia.com/xiaoqu/4220032960682043/,五叙街,(香坊菜艺商圈)五叙街,90天成交0套,43,1套正在出租,板楼,0.5元/平米/月,哈尔滨五阳物业管理有限公司,上上地产,41栋,1608户,7551
82,4220033034073602,https://hrb.lianjia.com/xiaoqu/4220033034073602/,比乐街,(南岗儿童公园)比乐街,90天成交1套,69,10套正在出租,板楼,0.24至0.8元/平米/月,业主自筹物业,哈尔滨好来屋房地产置业发展有限公司南岗分公司,103栋,3964户,7672
